,DeepLift,FeatureAblation,GradientShap,GuidedBackprop,InputXGradient,IntegratedGradients,NoiseTunnel,Saliency
hit,True,True,True,True,True,True,True,True
mean_reciprocal_rank,0.2462741805753368,0.24759050087804693,0.23494082230521013,0.24000322452470488,0.23533384662326357,0.243692957892308,0.24411766284688252,0.24000322452470488
mean_average_precision,0.1324610928843349,0.13252481742982325,0.13173020025623428,0.1350102983306949,0.1338399829779726,0.13094943037442497,0.13033948071040252,0.1350102983306949
ndcg$1,0.6739240917587699,0.6586860262649494,0.8144814487917446,0.8270784108454251,0.7691777219131822,0.654824400871451,0.7577593837704996,0.8270784108454251
ndcg$2,0.6743829049450536,0.6594395774918476,0.8144609704331273,0.8275687757667909,0.7696039209185953,0.6546490752754057,0.7576346858486368,0.8275687757667909
ndcg$4,0.6743829049450536,0.6594395774918476,0.8144609704331273,0.8275687757667909,0.7696039209185953,0.6546490752754057,0.7576346858486368,0.8275687757667909
