,DeepLift,FeatureAblation,GradientShap,GuidedBackprop,InputXGradient,IntegratedGradients,NoiseTunnel,Saliency
hit,True,True,True,True,True,True,True,True
mean_reciprocal_rank,0.32115435386970775,0.4195234984895788,0.21327249235423998,0.2923892663153058,0.3149918348503795,0.38696870867395566,0.2546716793549031,0.27591015089926507
mean_average_precision,0.20329348527543215,0.21913934780746044,0.15255354882610656,0.28352456389134445,0.28332697699067666,0.24366930342652982,0.15431137669463638,0.24822291878589361
ndcg$1,0.6174537281705661,0.602299942254611,0.7603109135946071,0.7504370160884261,0.7233168358171091,0.5963926078218118,0.7511218610976441,0.7666056345180644
ndcg$2,0.6567946394700844,0.6511094962883862,0.7624475778679201,0.801467593291135,0.7743537143082229,0.6530179388110205,0.7561500795471767,0.7947823295451156
ndcg$4,0.6567946394700844,0.6511094962883862,0.7624475778679201,0.801467593291135,0.7743537143082229,0.6530179388110205,0.7561500795471767,0.7947823295451156
