,DeepLift,FeatureAblation,GradientShap,GuidedBackprop,InputXGradient,IntegratedGradients,NoiseTunnel,Saliency,dled,lo3
hit,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.297,0.0998
mean_reciprocal_rank,0.2566120707574999,0.3913905109521483,0.1404104630749227,0.27200077298846115,0.2715864703713325,0.5295560333499789,0.15166297724807742,0.26808310814265085,0.3672937509736734,0.18728951340500388
mean_average_precision,0.1436010151576144,0.19002573214691332,0.088392482399453,0.1940619814992171,0.19378572073381678,0.2784706825863687,0.09010631735125568,0.18793121178309655,0.209879508842512,0.1888025830674098
ndcg$1,0.6212937228838524,0.6066392305873596,0.7868592551158619,0.7785607726690523,0.7785465590644244,0.6104773097014166,0.7414519185569411,0.7754953845900016,0.06939291429748633,0.03272394827592824
ndcg$2,0.642928667829232,0.6434232670453147,0.7877807214765821,0.8067401768263674,0.806726351727061,0.6717445627931745,0.74479582338127,0.8026484973048162,0.21163133459612624,0.09979999999999999
ndcg$4,0.642928667829232,0.6434232670453147,0.7877807214765821,0.8067401768263674,0.806726351727061,0.6717445627931745,0.74479582338127,0.8026484973048162,0.21163133459612624,0.09979999999999999
