,DeepLift,FeatureAblation,GradientShap,GuidedBackprop,InputXGradient,IntegratedGradients,NoiseTunnel,Saliency,dled,lo3
hit,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9971,0.8906
mean_reciprocal_rank,0.25042439802848354,0.24988719808670098,0.24013213513176937,0.25205830106014354,0.2514438668740854,0.26329972810689467,0.24134586236498726,0.25205830106014354,0.9978233921908842,0.9102135909982324
mean_average_precision,0.13312552979800413,0.13281277740988065,0.12991448663130642,0.13433357658165226,0.13439067074323474,0.1378537991530596,0.12957447419040943,0.13433357658165226,0.6105252090134582,0.26886112850397736
ndcg$1,0.6808787003184605,0.6398788631805366,0.852689274204126,0.8510102531551497,0.8509900477494988,0.653973704902717,0.7613854863204103,0.8510102531551497,0.33581725324943623,0.18776311954886488
ndcg$2,0.6816215290256663,0.640935058876207,0.8526988083910284,0.8519385186279027,0.8519184943107695,0.6565020431402673,0.7614199392770997,0.8519385186279027,0.7559984652241971,0.4226960611198704
ndcg$4,0.6816215290256663,0.640935058876207,0.8526988083910284,0.8519385186279027,0.8519184943107695,0.6565020431402673,0.7614199392770997,0.8519385186279027,0.7559984652241971,0.4226960611198704
