,DeepLift,FeatureAblation,GradientShap,GuidedBackprop,InputXGradient,IntegratedGradients,NoiseTunnel,Saliency,dled,lo3
hit,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5304,0.7551
mean_reciprocal_rank,0.39198234002262206,0.6641348248506999,0.2135153306980711,0.38264635348480125,0.38228820159800575,0.6900143376153863,0.25926808328001455,0.3623476659290655,0.6156478634854525,0.7998430828259696
mean_average_precision,0.2385077945706438,0.30920005471192763,0.15593969923453313,0.35353792449187255,0.35348774909012587,0.383339401077534,0.16627646349593078,0.28861446790214107,0.4233920154400571,0.255065639578678
ndcg$1,0.5906004094773076,0.5576538765537226,0.7319340876112336,0.7442996115455569,0.7442956004185027,0.5759511872388904,0.7403533193764769,0.7501730614439697,0.18423890944562615,0.1592904553900948
ndcg$2,0.6414100765599308,0.6473337509267648,0.7351901189365216,0.8102709680544405,0.8102682707307753,0.6971068545903367,0.7498127888909056,0.7939760362996929,0.4147622893931564,0.35859783449039384
ndcg$4,0.6414100765599308,0.6473337509267648,0.7351901189365216,0.8102709680544405,0.8102682707307753,0.6971068545903367,0.7498127888909056,0.7939760362996929,0.4147622893931564,0.35859783449039384
