,DeepLift,FeatureAblation,GradientShap,GuidedBackprop,InputXGradient,IntegratedGradients,NoiseTunnel,Saliency,dled,lo3
hit,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7512121212121212,0.678989898989899
mean_reciprocal_rank,0.37048842413037114,0.519923819213817,0.20594462041119566,0.36460222232445705,0.3646735993996418,0.5254426841344754,0.2470519961712151,0.36015720128854134,0.7998899189559596,0.7400967792985947
mean_average_precision,0.20962007707336405,0.24434784607654952,0.16546046556754845,0.27912874569559437,0.27912413226729915,0.2776700578371845,0.17048736660658934,0.24756854922253765,0.6147217808072287,0.26377834511639087
ndcg$1,0.5992074288887909,0.5771436991493958,0.6965000389733128,0.7489410706049481,0.7489404379297104,0.5914773389042249,0.7119967731416623,0.745458915509199,0.29845475087210793,0.14400036803719368
ndcg$2,0.6314458044620664,0.6324294012826788,0.6977516980394087,0.7906294923614691,0.7906284315216634,0.657929363295066,0.7173359021910282,0.7761172950843929,0.6439229389112666,0.3106840816568114
ndcg$4,0.6314458044620664,0.6324294012826788,0.6977516980394087,0.7906294923614691,0.7906284315216634,0.657929363295066,0.7173359021910282,0.7761172950843929,0.6439229389112666,0.3106840816568114
