,DeepLift,FeatureAblation,GradientShap,GuidedBackprop,InputXGradient,IntegratedGradients,NoiseTunnel,Saliency,dled,lo3
hit,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8531,0.551
mean_reciprocal_rank,0.43942783526731244,0.6584843085170092,0.1562709025904541,0.5054649103207661,0.5052388376668155,0.7924808277993611,0.19603284669222334,0.43838888218826594,0.8733669400760464,0.5077471779466433
mean_average_precision,0.21064802710416833,0.31196684024842236,0.09180339497616907,0.31286561363986193,0.312785743301416,0.39891842440838315,0.11147662390773619,0.24497528920306522,0.4452755452093538,0.2525583675611131
ndcg$1,0.6054921276236246,0.59298062929085,0.718903603355547,0.7585594271442768,0.758548828004644,0.586124230259533,0.739228521243525,0.7496801602611874,0.20826071335989083,0.15963744650200715
ndcg$2,0.6541727679473717,0.6740601468861264,0.7223791354370642,0.8207540984096596,0.8207415564388862,0.6930200756151539,0.751707296065762,0.7987643036788494,0.6351439935689548,0.3853112920538531
ndcg$4,0.6541727679473717,0.6740601468861264,0.7223791354370642,0.8207540984096596,0.8207415564388862,0.6930200756151539,0.751707296065762,0.7987643036788494,0.6351439935689548,0.3853112920538531
