,DeepLift,FeatureAblation,GradientShap,GuidedBackprop,InputXGradient,IntegratedGradients,NoiseTunnel,Saliency,dg2
hit,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4307
mean_reciprocal_rank,0.23976068226705238,0.2362054192753622,0.24104787026134908,0.2414714555958693,0.24131070257047804,0.23702595879903707,0.23807526956237263,0.2414714555958693,0.5312859995475067
mean_average_precision,0.1290846984216274,0.1285242882638395,0.12963115647596418,0.12796996709557673,0.12839265619222384,0.1284997776435442,0.12876556665950376,0.12796996709557673,0.3100117632334621
ndcg$1,0.7049440642207174,0.6943747387005563,0.7986743974187221,0.8427953197808905,0.7445004895909806,0.6869505112117531,0.7616661418907592,0.8427953197808905,0.12454639678071246
ndcg$2,0.7045392924913404,0.6936626040782238,0.7986916956611985,0.842296606874387,0.7440294690370982,0.6863507662285265,0.7614484145022953,0.842296606874387,0.28038132021016143
ndcg$4,0.7045392924913404,0.6936626040782238,0.7986916956611985,0.842296606874387,0.7440294690370982,0.6863507662285265,0.7614484145022953,0.842296606874387,0.28038132021016143
