,DeepLift,FeatureAblation,GradientShap,GuidedBackprop,InputXGradient,IntegratedGradients,NoiseTunnel,Saliency,dg2
hit,True,True,True,True,True,True,True,True,True
mean_reciprocal_rank,0.3468280500759338,0.5564640705073223,0.21010156780800507,0.3283008496006066,0.3451683612778979,0.5503137328320051,0.2476372737362315,0.31882576933595336,1.0
mean_average_precision,0.22704647685626625,0.27958007387318456,0.1499040294507236,0.29904160783245665,0.24254234479454434,0.35532434988639316,0.15771134340819462,0.26623364285284895,1.0
ndcg$1,0.641449920409001,0.6285225022191402,0.7059275224303615,0.7546982595166589,0.6711503107368089,0.6304066452368161,0.7159958270394567,0.7509386814935534,0.4442036177279866
ndcg$2,0.6780694017977351,0.6923753006137647,0.7083513983812855,0.799089195207806,0.7099031088938558,0.721609259223535,0.722649049856562,0.7863054413691568,1.0
ndcg$4,0.6780694017977351,0.6923753006137647,0.7083513983812855,0.799089195207806,0.7099031088938558,0.721609259223535,0.722649049856562,0.7863054413691568,1.0
