,IG: None - max,IG: bounds - max,IG: bounds - mean,IG: bounds - min,IG: bounds - sum,IG: random - max,IG: random - mean,IG: random - min,IG: random - sum,dg2
hit,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.594059405940594
mean_reciprocal_rank,0.15466034103410217,0.15968120383466755,0.17439053905390403,0.165932303944679,0.17327439886845689,0.1564310859657384,0.18981007386452778,0.1586056105610548,0.1863353371051375,0.594059405940594
mean_average_precision,0.14208460468070516,0.14645979383227295,0.16115779969578478,0.15139156572970106,0.1618264365977403,0.14345584358605845,0.17548242153296797,0.14525812678206443,0.172742935956009,0.594059405940594
ndcg$1,0.8370495859412067,0.7760022924973944,0.8385897070874563,0.7899371779420163,0.8367411058705733,0.783590787440068,0.8378735072837606,0.7828794683732672,0.8343966877713785,0.4345098793936161
ndcg$2,0.8460414377123927,0.7860035429640864,0.8464447987105517,0.8032399538244273,0.8447662006361181,0.7918260154336103,0.8478703370243121,0.7917550777671131,0.8444945708835683,0.594059405940594
ndcg$4,0.8460414377123927,0.7860035429640864,0.8464447987105517,0.8032399538244273,0.8447662006361181,0.7918260154336103,0.8478703370243121,0.7917550777671131,0.8444945708835683,0.594059405940594
