,IG: None - max,IG: bounds - max,IG: bounds - mean,IG: bounds - min,IG: bounds - sum,IG: random - max,IG: random - mean,IG: random - min,IG: random - sum,dled,lo3
hit,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8461,0.559
mean_reciprocal_rank,0.8781502777777758,0.7603106746031676,0.9571528174603176,0.7563217063492014,0.9619523809523817,0.8387159523809449,0.9818824999999999,0.8136908333333238,0.9855933333333334,0.8642635714285725,0.49259373015873115
mean_average_precision,0.7674942791005265,0.6668512797619028,0.8629576554232778,0.6638525793650748,0.8657463822751285,0.7156824503968252,0.902787301587299,0.69233421626984,0.9168173578042313,0.8303421759259276,0.46703285052909876
ndcg$1,0.9149423032481229,0.8813694037741993,0.8892140387194976,0.8761945376297081,0.8874074561353795,0.897646751187222,0.8780636002179028,0.8957417837089251,0.8764252680110288,0.44725288681019226,0.35549283496813966
ndcg$2,0.9584809462044263,0.9373971029420601,0.9525035584737994,0.934292269505502,0.9516917900940661,0.9407856135568904,0.951096457341872,0.9370875863145035,0.9523970648124039,0.8202328398989064,0.5390383909819444
ndcg$4,0.9584809462044263,0.9373971029420601,0.9525035584737994,0.934292269505502,0.9516917900940661,0.9407856135568904,0.951096457341872,0.9370875863145035,0.9523970648124039,0.8202328398989064,0.5390383909819444
