,IG: None - max,IG: bounds - max,IG: bounds - mean,IG: bounds - min,IG: bounds - sum,IG: random - max,IG: random - mean,IG: random - min,IG: random - sum,dled,lo3
hit,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3134,0.1009
mean_reciprocal_rank,0.5504964285714259,0.6012983333333315,0.9063287698412678,0.5475824603174576,0.8970280952380936,0.4387300000000002,0.7981519841269784,0.44822650793650776,0.809793214285708,0.36308095238095256,0.16633333333333195
mean_average_precision,0.4865002447089932,0.5466532142857146,0.8146830390211595,0.5067491302910058,0.8041716435185144,0.3953144444444469,0.7092455423280374,0.40349840939153525,0.7254636574074016,0.3615353769841272,0.17879069444444348
ndcg$1,0.9362418431930702,0.8919900408485272,0.9113124141955774,0.8492925490726769,0.911773176079991,0.9015527876479001,0.9107358160756407,0.901741709539109,0.9108080473937366,0.1576008997303119,0.0715871342335562
ndcg$2,0.9534855431561751,0.9335441019168805,0.9608445460428933,0.8935484784435852,0.9602724867237626,0.9218460928280596,0.9520139869151153,0.923479819810294,0.9540434322886534,0.30220376030947954,0.1009
ndcg$4,0.9534855431561751,0.9335441019168805,0.9608445460428933,0.8935484784435852,0.9602724867237626,0.9218460928280596,0.9520139869151153,0.923479819810294,0.9540434322886534,0.30220376030947954,0.1009
